model,range,preprocess,seed,n_params,n_bands,n_train,n_test,epochs_run,time_s,r2,rmse,mae,bias,rpd,rpiq,exp_name,status,aggregate
LucasResNet16,VIS,raw,0,925729.0,1502,546.0,118,50,29.1,0.0804113210933558,0.6135851707269625,0.4905975890361657,0.0072488567586672,1.0428052092699749,1.348631248252126,VIS__LucasResNet16__raw__seed0,ok,
LucasVGG16,VIS,raw,0,505507.0,1502,546.0,118,52,31.2,0.1640894562018258,0.5850028051277189,0.4579870332095582,0.0024532125157825,1.0937551183625351,1.4145233620304365,VIS__LucasVGG16__raw__seed0,ok,
LSTMPaper,VIS,raw,0,140417.0,1502,546.0,118,80,104.6,0.0785945471913136,0.6141909826026126,0.4742496341972028,0.0367140017323574,1.0417766305417613,1.34730101571989,VIS__LSTMPaper__raw__seed0,ok,
SpectralNet,VIS,raw,0,239579.0,1502,546.0,118,80,240.6,0.0490712201931771,0.6239532377872956,0.4813010818877463,0.0328990862531177,1.0254771890181404,1.3262213970409595,VIS__SpectralNet__raw__seed0,ok,
LucasResNet16,NIR,raw,0,316129.0,486,546.0,118,80,28.0,0.3713641042218326,0.5073149199630661,0.384284669059818,-0.028567108057313,1.2612477717222783,1.6311369962601168,NIR__LucasResNet16__raw__seed0,ok,
LucasVGG16,NIR,raw,0,207907.0,486,546.0,118,80,32.1,0.4499450695465371,0.4745490167158701,0.3374557000095561,-0.0145546632297968,1.3483323952349158,1.743761140699933,NIR__LucasVGG16__raw__seed0,ok,
LSTMPaper,NIR,raw,0,140417.0,486,546.0,118,54,35.7,0.0381195733534194,0.6275359211960385,0.5047671456458205,0.0045210724159822,1.0196226076514876,1.3186498282510126,NIR__LSTMPaper__raw__seed0,ok,
SpectralNet,NIR,raw,0,239579.0,486,546.0,118,69,128.4,-0.019110534476155,0.6459348139893287,0.5132332954366329,0.0415614666575092,0.9905795422499925,1.2810892318929383,NIR__SpectralNet__raw__seed0,ok,
LucasResNet16,VISNIR,raw,0,1218529.0,1988,546.0,118,79,100.1,0.2473079045947345,0.5551198083273311,0.4111401211407225,0.016437385546959,1.1526337247680962,1.4906694416109805,VISNIR__LucasResNet16__raw__seed0,ok,
LucasVGG16,VISNIR,raw,0,659107.0,1988,546.0,118,58,77.3,0.2539209794706279,0.5526758157163185,0.4207010885416451,-0.0338243892637349,1.157730796553092,1.4972613441280784,VISNIR__LucasVGG16__raw__seed0,ok,
LSTMPaper,VISNIR,raw,0,140417.0,1988,546.0,118,80,198.9,0.052209236939463,0.6229228800325692,0.4966101580757205,0.0284367744195259,1.0271733995890937,1.3284150594424011,VISNIR__LSTMPaper__raw__seed0,ok,
SpectralNet,VISNIR,raw,0,239579.0,1988,546.0,118,80,350.1,0.0177144903678955,0.6341571825390081,0.4922274992627612,0.0422732774483955,1.0089766858794902,1.3048817509144843,VISNIR__SpectralNet__raw__seed0,ok,
LucasVGG16,NIR,raw,0,207907.0,486,10920.0,118,43,180.0,0.3823207248186193,0.5028744358040711,0.3672875572564238,-0.0494696540852724,1.2723848373129576,1.64554003262082,NIR__LucasVGG16__raw__replicas__seed0,ok,replicas
LucasVGG16,NIR,sg1,0,207907.0,486,10920.0,118,49,208.0,0.3586884814522619,0.512404061633112,0.3711585889933473,0.0376065663867077,1.2487211852890212,1.6149364875442935,NIR__LucasVGG16__sg1__replicas__seed0,ok,replicas
LucasVGG16,NIR,snv,0,207907.0,486,10920.0,118,41,179.1,0.3193993640543245,0.5278666427646154,0.386472192608704,-0.099591879268824,1.2121429076069277,1.567630815168224,NIR__LucasVGG16__snv__replicas__seed0,ok,replicas
LucasResNet16,NIR,raw,0,316129.0,486,10920.0,118,43,143.6,0.3588482205778956,0.5123402423565637,0.3822952162916377,-0.0253602869934954,1.248876731303305,1.6151376508919792,NIR__LucasResNet16__raw__replicas__seed0,ok,replicas
LucasResNet16,NIR,sg1,0,316129.0,486,10920.0,118,41,138.0,0.3293454330847681,0.5239954146214196,0.3982931489156464,-0.115807961861966,1.221098103791027,1.5792123221060368,NIR__LucasResNet16__sg1__replicas__seed0,ok,replicas
LucasResNet16,NIR,snv,0,316129.0,486,10920.0,118,43,147.2,0.3727544521000329,0.5067535935948516,0.3656362201702797,0.0010978299177299,1.2626448342485102,1.632943556703797,NIR__LucasResNet16__snv__replicas__seed0,ok,replicas
ENSEMBLE_LucasVGG16,NIR,raw,0,,120,,118,0,,0.0278167498642807,0.6308877780622608,0.5179554895829346,-0.0681397192558999,1.014205433381748,1.3116439460091,NIR__ENSEMBLE_LucasVGG16__raw_bandsel,ok,ensemble
ENSEMBLE_all,NIR,raw,0,,486,,118,0,,0.3823144724915309,0.5028769849849499,0.3816160807165049,-0.011160914675664,1.2723783976394003,1.6455319281141143,NIR__ENSEMBLE_all__raw,ok,ensemble
ENSEMBLE_LucasVGG16,NIR,raw,0,,486,,118,0,,0.4170419447896851,0.4885361446261533,0.3563998376919051,-0.0175674774889218,1.3097287056508808,1.69383605247823,NIR__ENSEMBLE_LucasVGG16__raw,ok,ensemble
ENSEMBLE_all,NIR,raw,0,,150,,118,0,,0.3757727070897395,0.5055328987252693,0.3770773112773895,0.0088507962428917,1.2656937144512297,1.6368868115073956,NIR__ENSEMBLE_all__raw_bandsel,ok,ensemble
ENSEMBLE_LucasResNet16,NIR,raw,0,,150,,118,0,,0.3843902323237297,0.5020313036035627,0.3581231312226441,-0.0071831108149835,1.274521743508949,1.648303858278818,NIR__ENSEMBLE_LucasResNet16__raw_bandsel,ok,ensemble
MLP,VIS,raw,0,425985.0,1502,546.0,118,143,42.3,0.1560741204262766,0.587800836042469,0.4622565472530106,0.0565744653596716,1.0885486599046854,1.4077899927428985,VIS__MLP__raw__median__seed0,ok,median
MLP,NIR,raw,0,165889.0,486,546.0,118,117,27.3,0.0636739640830652,0.6191438976139374,0.496039214275651,0.0521642621290885,1.0334428148783226,1.3365231215158948,NIR__MLP__raw__median__seed0,ok,median
MLP,VISNIR,raw,0,550401.0,1988,546.0,118,150,27.8,0.1672028323745223,0.5839123577838637,0.4538855188983982,0.0678738749633401,1.095797689217129,1.417164962644613,VISNIR__MLP__raw__median__seed0,ok,median
MLP,NIR,raw,0,165889.0,486,10920.0,118,125,167.2,0.4540483043401182,0.4727757072785081,0.3311778981301744,0.02808955286519,1.3533897730757944,1.7503014701424462,NIR__MLP__raw__replicas__seed0,ok,replicas
MLP,NIR,snv,0,165889.0,486,10920.0,118,44,48.5,0.4272179291831551,0.4842534807397063,0.346659476221618,0.0465425538309549,1.321311735771162,1.7088158338752375,NIR__MLP__snv__replicas__seed0,ok,replicas
MLP,NIR,sg1,0,165889.0,486,10920.0,118,62,73.4,0.4762366619405411,0.4630688752871754,0.3307962066541284,0.0740657345218173,1.3817594775563375,1.7869912223835551,NIR__MLP__sg1__replicas__seed0,ok,replicas
ENSEMBLE_all,NIR,sg1,0,,486,,118,0,,0.4786510997675941,0.4620003215282061,0.3411381956884416,0.0314523693868669,1.384955339962505,1.7911245861675802,NIR__ENSEMBLE_all__sg1,ok,ensemble
ENSEMBLE_MLP,NIR,sg1,0,,486,,118,0,,0.4786510997675941,0.4620003215282061,0.3411381956884416,0.0314523693868669,1.384955339962505,1.7911245861675802,NIR__ENSEMBLE_MLP__sg1,ok,ensemble
ENSEMBLE_all,NIR,sg1,0,,150,,118,0,,0.3844662765230613,0.5020002955286791,0.3660878488572977,0.043698866488569875,1.2746004694898212,1.6484056724210083,NIR__ENSEMBLE_all__sg1_bandsel,ok,ensemble
ENSEMBLE_MLP,NIR,sg1,0,,150,,118,0,,0.3844662765230613,0.5020002955286791,0.3660878488572977,0.043698866488569875,1.2746004694898212,1.6484056724210083,NIR__ENSEMBLE_MLP__sg1_bandsel,ok,ensemble
